"","inc","eco1","eco2","pe_h","pe_e","pe_u","pe_d","pe_o","pe_b","pe_p","pe_w","dem","close","like","gender","age","educ","religiosity"
"572",1,3,5,1,1,1,3,1,3,3,3,2,1,10,2,1955,2,6
"575",1,1,1,2,1,3,1,3,1,1,3,1,1,8,1,1984,2,5
"584",0,5,4,1,1,1,1,1,1,1,1,5,4,0,1,1991,2,5
"587",1,1,2,3,3,2,3,2,4,3,2,2,1,8,1,1968,7,5
"590",0,1,5,1,1,5,5,3,3,3,2,4,4,0,1,1997,4,5
"592",0,5,4,1,1,1,4,1,1,3,1,5,4,1,2,1991,2,6
"596",0,3,2,2,2,1,1,1,2,1,1,5,3,4,2,1994,4,6
"597",0,5,5,4,3,3,4,4,3,3,4,5,4,1,2,1974,4,1
"598",0,5,2,2,2,1,1,1,2,1,1,5,2,1,1,1981,3,5
"599",0,3,2,2,2,1,1,1,2,1,1,5,3,1,1,1995,7,5
"601",1,3,1,2,2,1,1,1,2,2,1,4,1,5,1,1977,7,5
"602",0,5,2,1,2,1,1,1,2,1,1,5,2,1,1,1976,7,5
"603",0,5,2,2,2,1,1,1,2,1,1,5,2,1,2,1994,4,1
"605",1,5,4,1,1,1,1,1,1,1,1,2,1,10,2,1974,2,6
"606",0,5,4,1,2,1,2,2,2,1,2,4,2,0,1,1942,3,6
"607",0,5,4,1,1,1,1,1,2,1,1,5,4,1,1,1989,2,5
"609",1,5,2,2,2,1,1,1,2,1,1,2,1,8,1,1987,7,5
"611",0,5,5,5,5,3,3,5,5,4,5,5,2,1,1,1950,4,1
"614",1,5,4,3,3,1,1,2,2,2,2,2,1,10,1,1989,3,5
"615",1,1,4,3,3,3,3,3,3,3,3,2,1,10,1,1987,3,5
"616",1,5,2,2,2,2,2,2,2,2,2,2,1,10,2,1997,4,6
"617",1,3,2,1,1,1,1,1,1,1,1,1,1,10,1,1976,3,5
"618",1,1,1,1,2,1,2,2,2,1,1,1,1,10,2,1985,4,6
"619",0,5,2,1,1,3,1,2,4,2,4,4,3,5,1,1978,2,5
"620",0,5,5,1,3,4,3,1,3,3,1,4,2,3,2,1979,4,1
"621",1,3,4,1,3,2,3,1,4,4,2,2,1,10,2,1975,4,3
"622",0,5,4,1,1,2,2,2,1,2,1,5,2,0,2,1972,7,1
"624",1,3,5,2,1,2,2,1,2,2,1,1,1,10,2,1943,2,6
"627",0,3,4,1,2,1,2,1,2,2,2,4,3,0,1,1982,4,5
"628",1,3,2,5,5,5,4,3,3,2,4,2,1,10,1,1980,4,5
